date,close
2018/10/24,1995.38
2018/10/25,1982.96
2018/10/26,1977.01
2018/10/29,1942.6
2018/10/30,1962.75
2018/10/31,1998.64
2018/11/01,2012.73
2018/11/02,2072.04
2018/11/05,2066.69
2018/11/06,2060.95
2018/11/07,2054.17
2018/11/08,2039.48
2018/11/09,2031.8
2018/11/12,2075.27
2018/11/13,2095.44
2018/11/14,2073.88
2018/11/15,2103.38
2018/11/16,2111.39
2018/11/19,2118.6
2018/11/20,2064.01
2018/11/21,2045.63
2018/11/22,2039.96
2018/11/23,1976.99
2018/11/26,1961.61
2018/11/27,1975.9
2018/11/28,2008.49
2018/11/29,1966.85
2018/11/30,1987.61
2018/12/03,2055.06
2018/12/04,2069.41
2018/12/05,2051.17
2018/12/06,2014.05
2018/12/07,2014.76
2018/12/10,2002.76
2018/12/11,2025.38
2018/12/12,2031.22
2018/12/13,2055.04
2018/12/14,2015.34
2018/12/17,2004.69
2018/12/18,1990.78
2018/12/19,1960.3
2018/12/20,1961.03
2018/12/21,1947.02
2018/12/24,1969.05
2018/12/25,1948.39
2018/12/26,1934.2
2018/12/27,1917.45
2018/12/28,1911.96
2019/01/02,1894.1
2019/01/03,1879.38
2019/01/04,1923.02
2019/01/07,1958.72
2019/01/08,1960.38
2019/01/09,1964.54
2019/01/10,1959.79
2019/01/11,1970.89
2019/01/14,1954.44
2019/01/15,1979.31
2019/01/16,1976.39
2019/01/17,1956.26
2019/01/18,1976.33
2019/01/21,1993.84
2019/01/22,1970.35
2019/01/23,1968.46
2019/01/24,1981.87
2019/01/25,1975.35
2019/01/28,1976.97
2019/01/29,1956.1
2019/01/30,1940.65
2019/01/31,1929.85
2019/02/01,1978.81
2019/02/11,2029.17
2019/02/12,2053.51
2019/02/13,2101.95
2019/02/14,2107.14
2019/02/15,2099.91
2019/02/18,2181.73
2019/02/19,2182.32
2019/02/20,2196.62
2019/02/21,2204.46
2019/02/22,2262.18
2019/02/25,2374.23
2019/02/26,2376.39
2019/02/27,2354.64
2019/02/28,2353.32
2019/03/01,2371.53
2019/03/04,2426.77
2019/03/05,2496.24
2019/03/06,2531.79
2019/03/07,2544.41
2019/03/08,2468.05
2019/03/11,2569.59
2019/03/12,2617.51
2019/03/13,2535.3
2019/03/14,2490.71
2019/03/15,2527.11
2019/03/18,2609.55
2019/03/19,2636.12
2019/03/20,2632.14
2019/03/21,2659.85
2019/03/22,2679.02
2019/03/25,2643.35
2019/03/26,2585.89
2019/03/27,2606.49
2019/03/28,2591.37
2019/03/29,2680.49
2019/04/01,2788.28
2019/04/02,2778.47
2019/04/03,2814.17
2019/04/04,2832.32
2019/04/08,2837.21
2019/04/09,2821.81
2019/04/10,2824.2
2019/04/11,2744.7
2019/04/12,2767.21
2019/04/15,2737.03
2019/04/16,2805.39
2019/04/17,2823.93
2019/04/18,2810.96
2019/04/19,2820.47
2019/04/22,2803.49
2019/04/23,2772.33
2019/04/24,2823.89
2019/04/25,2738.38
2019/04/26,2711.76
2019/04/29,2648.55
2019/04/30,2668.27
2019/05/06,2447.49
2019/05/07,2454.02
2019/05/08,2417.9
2019/05/09,2397.18
2019/05/10,2512.48
2019/05/13,2476.35
2019/05/14,2463.92
2019/05/15,2525.54
2019/05/16,2520.77
2019/05/17,2439.32
2019/05/20,2417.85
2019/05/21,2466.5
2019/05/22,2455.23
2019/05/23,2405.6
2019/05/24,2389.54
2019/05/27,2457.87
2019/05/28,2479.68
2019/05/29,2471.32
2019/05/30,2458.5
2019/05/31,2469.85
2019/06/03,2460.84
2019/06/04,2442.97
2019/06/05,2436.38
2019/06/06,2383.97
2019/06/10,2404.52
2019/06/11,2510.92
2019/06/12,2482.68
2019/06/13,2486.91
2019/06/14,2445.35
2019/06/17,2444.79
2019/06/18,2461.91
2019/06/19,2491.32
2019/06/20,2549.71
2019/06/21,2573.77
2019/06/24,2560.26
2019/06/25,2535.66
2019/06/26,2542.9
2019/06/27,2577.75
2019/06/28,2556.4
2019/07/01,2639.23
2019/07/02,2639.72
2019/07/03,2609.23
2019/07/04,2589.56
2019/07/05,2606.72
2019/07/08,2538.97
2019/07/09,2542.56
2019/07/10,2535.5
2019/07/11,2534.34
2019/07/12,2553.1
2019/07/15,2603.69
2019/07/16,2609.58
2019/07/17,2615.02
2019/07/18,2570.03
2019/07/19,2601.72
2019/07/22,2553.16
2019/07/23,2589.96
2019/07/24,2604.59
2019/07/25,2613.35
2019/07/26,2628.9
2019/07/29,2619.39
2019/07/30,2636.63
2019/07/31,2621.39
2019/08/01,2615.08
2019/08/02,2576.45
2019/08/05,2532.75
2019/08/06,2505.23
2019/08/07,2488.91
2019/08/08,2518.99
2019/08/09,2482.57
2019/08/12,2531.28
2019/08/13,2520.24
2019/08/14,2545.73
2019/08/15,2558.31
2019/08/16,2559.9
2019/08/19,2628.93
2019/08/20,2619.33
2019/08/21,2623.21
2019/08/22,2632.01
2019/08/23,2636.27
2019/08/26,2619.31
2019/08/27,2652.47
2019/08/28,2642.19
2019/08/29,2656.44
2019/08/30,2645.13
2019/09/02,2722.09
2019/09/03,2748.72
2019/09/04,2775.12
2019/09/05,2795.74
2019/09/06,2790.97
2019/09/09,2857.61
2019/09/10,2855.04
2019/09/11,2833.86
2019/09/12,2831.71
2019/09/16,2839.74
2019/09/17,2785.82
2019/09/18,2792.63
2019/09/19,2816.01
2019/09/20,2825.93
2019/09/23,2809.68
2019/09/24,2831.57
2019/09/25,2785.27
2019/09/26,2698.93
2019/09/27,2722.5
2019/09/30,2688.28
2019/10/08,2702
2019/10/09,2728.32
2019/10/10,2806.37
2019/10/11,2802.74
2019/10/14,2833.91
2019/10/15,2802.83
2019/10/16,2800.1
2019/10/17,2793.19
2019/10/18,2758.79
2019/10/21,2754.55
2019/10/22,2786.75
2019/10/23,2767.54
2019/10/24,2768.73
2019/10/25,2814.39
2019/10/28,2874.34
2019/10/29,2847.28
2019/10/30,2845.5
2019/10/31,2824.89
2019/11/01,2849.1
2019/11/04,2880.23
2019/11/05,2903.76
2019/11/06,2874.76
2019/11/07,2897.7
2019/11/08,2864.39
2019/11/11,2819.72
2019/11/12,2809.97
2019/11/13,2841.14
2019/11/14,2859.99
2019/11/15,2798.07
2019/11/18,2822.47
2019/11/19,2882.13
2019/11/20,2842.52
2019/11/21,2836.19
2019/11/22,2780.46
2019/11/25,2742.14
2019/11/26,2774.37
2019/11/27,2781.22
2019/11/28,2783.93
2019/11/29,2766.67
2019/12/02,2798.01
2019/12/03,2812.99
2019/12/04,2824.35
2019/12/05,2863.61
2019/12/06,2892.28
2019/12/09,2875.89
2019/12/10,2862.46
2019/12/11,2836.55
2019/12/12,2846.15
2019/12/13,2890.42
2019/12/16,2913.5
2019/12/17,2952.67
2019/12/18,2927.81
2019/12/19,2898.92
2019/12/20,2892.75
2019/12/23,2829.98
2019/12/24,2861.85
2019/12/25,2886.87
2019/12/26,2884.48
2019/12/27,2879.19
2019/12/30,2910.12
2019/12/31,2947.27
2020/01/02,3030.62
2020/01/03,3037.77
2020/01/06,3091.94
2020/01/07,3123.7
2020/01/08,3091.72
2020/01/09,3144.69
2020/01/10,3134.95
2020/01/13,3197.67
2020/01/14,3170.51
2020/01/15,3185.71
2020/01/16,3171.02
2020/01/17,3157.33
2020/01/20,3252.68
2020/01/21,3230.89
2020/01/22,3267.54
2020/01/23,3137.17
2020/02/03,2858.17
2020/02/04,2984.92
2020/02/05,3021.6
2020/02/06,3110.24
2020/02/07,3140.64
2020/02/10,3182.41
2020/02/11,3211.7
2020/02/12,3251.67
2020/02/13,3266.53
2020/02/14,3305.61
2020/02/17,3383.7
2020/02/18,3414.82
2020/02/19,3442.64
2020/02/20,3546.97
2020/02/21,3595.51
2020/02/24,3673.82
2020/02/25,3770.51
2020/02/26,3643.08
2020/02/27,3606.94
2020/02/28,3453.76
2020/03/02,3551.82
2020/03/03,3583.7
2020/03/04,3552.91
2020/03/05,3660
2020/03/06,3626.91
2020/03/09,3482.76
2020/03/10,3546.99
2020/03/11,3480.22
2020/03/12,3376.35
2020/03/13,3379.94
2020/03/16,3179.26
2020/03/17,3185.46
2020/03/18,3184.53
2020/03/19,3204.07
